{'01044099999': -10.0, '02293099999': -27.6}
         384086 function calls (378509 primitive calls) in 4.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.009    0.003 request.py:1(<module>)
  165/164    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        2    0.007    0.003    0.007    0.003 models.py:906(text)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
     1169    0.002    0.000    0.005    0.000 response.py:375(_init_decoder)
      411    0.003    0.000    0.005    0.000 sre_compile.py:292(_optimize_charset)
       10    0.000    0.000    0.005    0.000 enum.py:536(_convert_)
     6495    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
     2555    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      135    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      865    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    33939    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
    24/23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
      873    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.004    0.004 sessions.py:1(<module>)
    45877    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    24/23    0.004    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
      233    0.000    0.000    0.004    0.000 enum.py:359(__call__)
     1171    0.001    0.000    0.004    0.000 contextlib.py:139(__exit__)
       17    0.002    0.000    0.004    0.000 enum.py:180(__new__)
      165    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 adapters.py:1(<module>)
     8329    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
      392    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x745520}
     2344    0.001    0.000    0.003    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.003    0.002 ssl_.py:250(create_urllib3_context)
     1191    0.002    0.000    0.003    0.000 _collections_abc.py:821(get)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1171    0.001    0.000    0.003    0.000 contextlib.py:279(helper)
19166/18162    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       13    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     3054    0.002    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        2    0.000    0.000    0.003    0.001 core.py:1(<module>)
     5808    0.002    0.000    0.003    0.000 sre_parse.py:165(__getitem__)
        2    0.000    0.000    0.003    0.001 sessions.py:457(prepare_request)
        1    0.000    0.000    0.003    0.003 zipfile.py:1(<module>)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
       72    0.000    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        2    0.000    0.000    0.002    0.001 ssl.py:488(__new__)
     2555    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1467    0.001    0.000    0.002    0.000 codecs.py:319(decode)
  892/152    0.002    0.000    0.002    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 certs.py:1(<module>)
     1171    0.002    0.000    0.002    0.000 contextlib.py:102(__init__)
        2    0.000    0.000    0.002    0.001 socket.py:938(getaddrinfo)
     2338    0.002    0.000    0.002    0.000 response.py:431(_error_catcher)
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
     1171    0.001    0.000    0.002    0.000 contextlib.py:130(__enter__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        2    0.002    0.001    0.002    0.001 {built-in method _socket.getaddrinfo}
      294    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.002    0.002 ssl_match_hostname.py:1(<module>)
      135    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      310    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
        1    0.000    0.000    0.002    0.002 __init__.py:445(StrFormatStyle)
        2    0.000    0.000    0.002    0.001 sessions.py:454(__exit__)
        2    0.000    0.000    0.002    0.001 sessions.py:794(close)
     4030    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.002    0.000 adapters.py:362(close)
      159    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        4    0.000    0.000    0.002    0.000 poolmanager.py:216(clear)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
        4    0.000    0.000    0.002    0.000 _collections.py:92(clear)
        2    0.000    0.000    0.002    0.001 poolmanager.py:174(<lambda>)
        2    0.001    0.001    0.002    0.001 connectionpool.py:483(close)
     3538    0.001    0.000    0.002    0.000 sre_parse.py:250(match)
     1197    0.001    0.000    0.002    0.000 _collections.py:156(__getitem__)
        2    0.000    0.000    0.002    0.001 utils.py:194(get_netrc_auth)
      204    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      181    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
    11457    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       10    0.000    0.000    0.002    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
     1467    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 resources.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
     6114    0.001    0.000    0.001    0.000 ssl.py:1109(_checkClosed)
     3056    0.001    0.000    0.001    0.000 socket.py:730(readable)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
       11    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
     1171    0.001    0.000    0.001    0.000 response.py:9(is_fp_closed)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        5    0.000    0.000    0.001    0.000 six.py:95(__get__)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       24    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
     3054    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      203    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        2    0.000    0.000    0.001    0.000 client.py:224(parse_headers)
      188    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 brotli.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
    60/58    0.000    0.000    0.001    0.000 typing.py:306(inner)
