{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2523    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
  891/151    0.002    0.000    0.002    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.002    0.002 ssl_match_hostname.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      310    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      133    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     3527    0.001    0.000    0.002    0.000 sre_parse.py:250(match)
12178/11177    0.001    0.000    0.002    0.000 {built-in method builtins.len}
      157    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       10    0.000    0.000    0.002    0.000 enum.py:553(<listcomp>)
     1463    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      202    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      133    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 resources.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
    11018    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       11    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        5    0.000    0.000    0.001    0.000 six.py:95(__get__)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       24    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      351    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x745520}
      186    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      201    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.001    0.001 brotli.py:1(<module>)
     1644    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
    60/58    0.000    0.000    0.001    0.000 typing.py:306(inner)
       39    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        2    0.000    0.000    0.001    0.000 socks.py:1(<module>)
        2    0.000    0.000    0.001    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
     2163    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
       80    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
      576    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      469    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1876    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
2885/2817    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1244    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
     2659    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      409    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     1381    0.000    0.000    0.001    0.000 sre_parse.py:287(tell)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      922    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     3566    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       17    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      178    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
     5312    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      186    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
        1    0.001    0.001    0.001    0.001 models.py:641(Response)
      371    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 request.py:939(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1251(CookieJar)
  134/133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2254(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       20    0.000    0.000    0.000    0.000 typing.py:1016(__init__)
      457    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.000    0.000 core.py:51(where)
        1    0.000    0.000    0.000    0.000 resources.py:107(path)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
      310    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
      399    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
     10/8    0.000    0.000    0.000    0.000 typing.py:401(__getitem__)
      993    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 load_cache.py:65(get_min_temperatures)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1532(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 load_cache.py:66(<dictcomp>)
      727    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
       71    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      135    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
      310    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        8    0.000    0.000    0.000    0.000 typing.py:483(Union)
      727    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1509    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _common.py:38(get_resource_reader)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      177    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
        8    0.000    0.000    0.000    0.000 typing.py:1138(__getitem__)
       17    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
     1322    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      167    0.000    0.000    0.000    0.000 typing.py:986(__setattr__)
